month,avg_entries,avg_exits,avg_churn_rate
2024-05,5.0,1.4285714285714286,0.1285714285714286
2024-06,1.2,1.2,0.048
2024-07,1.0,1.0,0.04
2024-08,1.064516129032258,1.064516129032258,0.042580645161290315
2024-09,1.3333333333333333,1.3333333333333333,0.05333333333333334
2024-10,1.903225806451613,1.903225806451613,0.07612903225806451
2024-11,1.5,1.5,0.060000000000000005
2024-12,2.161290322580645,2.161290322580645,0.08645161290322581
2025-01,2.032258064516129,2.032258064516129,0.08129032258064516
2025-02,0.9642857142857143,0.9642857142857143,0.038571428571428576
2025-03,1.793103448275862,1.793103448275862,0.07172413793103448
2025-04,2.6666666666666665,2.6666666666666665,0.10666666666666667
2025-05,1.7096774193548387,1.7096774193548387,0.06838709677419355
2025-06,1.9,1.9,0.07600000000000001
2025-07,1.5666666666666667,1.5666666666666667,0.06266666666666668
2025-08,1.9,1.9,0.076
2025-09,1.5,1.5,0.060000000000000005
2025-10,1.6129032258064515,1.6129032258064515,0.06451612903225806
2025-11,3.3703703703703702,3.3703703703703702,0.13481481481481483
